	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ENSDARG00000045143.6	0.00729657113997572	-2.47877845667804	0.126	0.155	1	6	ENSDARG00000045143
ENSDARG00000019902.2	0.00760945649226839	-1.00347462532706	0.155	0.178	1	6	ENSDARG00000019902
ENSDARG00000054616	0	2.51715938340294	0.575	0.05	0	7	ENSDARG00000054616
ENSDARG00000040534.2	0	2.39673438219135	0.948	0.126	0	7	ENSDARG00000040534
ENSDARG00000092283	0	2.26535236939665	0.513	0.025	0	7	ENSDARG00000092283
ENSDARG00000012972.1	0	2.04177530492218	0.814	0.128	0	7	ENSDARG00000012972
ENSDARG00000104181.3	0	2.00578228426301	0.874	0.294	0	7	ENSDARG00000104181
ENSDARG00000040295	0	1.91614855981989	0.545	0.087	0	7	ENSDARG00000040295
ENSDARG00000009544	0	1.88831308067351	0.601	0.096	0	7	ENSDARG00000009544
ENSDARG00000088711	0	1.74358453688171	0.402	0.044	0	7	ENSDARG00000088711
ENSDARG00000116617	0	1.69679778850574	0.643	0.057	0	7	ENSDARG00000116617
ENSDARG00000045887	0	1.67084169966222	0.441	0.014	0	7	ENSDARG00000045887
ENSDARG00000104992	0	1.57176742437087	0.453	0.012	0	7	ENSDARG00000104992
ENSDARG00000089645	0	1.50557987167066	0.451	0.023	0	7	ENSDARG00000089645
ENSDARG00000025254.1	0	1.44163839066059	0.764	0.168	0	7	ENSDARG00000025254
ENSDARG00000003808	0	1.40870858824221	0.542	0.072	0	7	ENSDARG00000003808
ENSDARG00000009018	0	1.36568502366353	0.475	0.051	0	7	ENSDARG00000009018
ENSDARG00000035018	0	1.19807884757447	0.341	0.021	0	7	ENSDARG00000035018
ENSDARG00000041339	0	1.1820971197625	0.49	0.02	0	7	ENSDARG00000041339
ENSDARG00000030896	0	1.17944628013547	0.422	0.05	0	7	ENSDARG00000030896
ENSDARG00000102332	0	1.17519496976151	0.573	0.037	0	7	ENSDARG00000102332
ENSDARG00000079745	0	1.14824472351391	0.519	0.062	0	7	ENSDARG00000079745
ENSDARG00000004539	0	1.11572274857816	0.468	0.039	0	7	ENSDARG00000004539
ENSDARG00000040045	0	1.0877617949719	0.401	0.007	0	7	ENSDARG00000040045
ENSDARG00000075121	0	1.05230005389713	0.462	0.048	0	7	ENSDARG00000075121
ENSDARG00000014047	0	1.04824006057529	0.435	0.033	0	7	ENSDARG00000014047
ENSDARG00000016691	0	1.008583791907	0.525	0.053	0	7	ENSDARG00000016691
ENSDARG00000018524	1.08937277238675e-304	1.25836834195585	0.692	0.153	2.39324304365644e-300	7	ENSDARG00000018524
ENSDARG00000069503	2.41484811959083e-304	1.46313168223429	0.23	0.015	5.3051798339291e-300	7	ENSDARG00000069503
ENSDARG00000097959	9.84295899914205e-282	2.08390664897872	0.333	0.036	2.16239966252152e-277	7	ENSDARG00000097959
ENSDARG00000097118.1	1.05145669027759e-279	2.49350826619173	0.659	0.168	2.30994520287083e-275	7	ENSDARG00000097118
ENSDARG00000026165	1.68970615680734e-277	1.01999524280284	0.438	0.062	3.71211545589005e-273	7	ENSDARG00000026165
ENSDARG00000078619	4.93006949855745e-255	1.01674542344432	0.626	0.134	1.08308696813809e-250	7	ENSDARG00000078619
ENSDARG00000042725.1	7.55713389264851e-249	1.22877758193366	0.79	0.24	1.66022674487595e-244	7	ENSDARG00000042725
ENSDARG00000088091.3	5.61246773843737e-232	1.81793833408752	0.82	0.316	1.23300303745731e-227	7	ENSDARG00000088091
ENSDARG00000076820	1.80474851281651e-229	1.18169739104034	0.263	0.028	3.96485200780659e-225	7	ENSDARG00000076820
ENSDARG00000017624.4	2.20654642053375e-226	1.28724524386083	0.966	0.597	4.8475618312706e-222	7	ENSDARG00000017624
ENSDARG00000026726.2	7.67909683704303e-220	1.06220344447251	0.646	0.161	1.68702078412998e-215	7	ENSDARG00000026726
ENSDARG00000036830.2	2.7217808915969e-208	2.49810526509892	0.863	0.426	5.97948044074924e-204	7	ENSDARG00000036830
ENSDARG00000055751	1.36126975339664e-206	1.11823019458445	0.515	0.112	2.99057352123708e-202	7	ENSDARG00000055751
ENSDARG00000058371.3	3.54613661761503e-204	2.13759643448571	0.815	0.318	7.79050753523847e-200	7	ENSDARG00000058371
ENSDARG00000043128	8.3940596764689e-203	1.33296112617334	0.327	0.047	1.84409097032345e-198	7	ENSDARG00000043128
ENSDARG00000009978.3	1.84523758477352e-202	1.62998357870671	0.878	0.361	4.05380244998895e-198	7	ENSDARG00000009978
ENSDARG00000090268.3	2.21692057490588e-191	2.34337709014717	0.707	0.261	4.87035281101073e-187	7	ENSDARG00000090268
ENSDARG00000020133.1	4.48271738603261e-179	1.12799585903345	0.834	0.334	9.84808182537504e-175	7	ENSDARG00000020133
ENSDARG00000056248.1	1.04082573798815e-176	2.5566543358277	0.447	0.107	2.28659006378618e-172	7	ENSDARG00000056248
ENSDARG00000092947.4	1.31707877690509e-171	1.11779513994323	0.891	0.488	2.89349036498279e-167	7	ENSDARG00000092947
ENSDARG00000039579	2.64649402465465e-164	1.0201065626028	0.339	0.06	5.8140827227638e-160	7	ENSDARG00000039579
ENSDARG00000055192.1	2.15247088368873e-161	2.50097516036659	0.522	0.154	4.72876328437578e-157	7	ENSDARG00000055192
ENSDARG00000098011	2.70687004257716e-109	1.30111901199678	0.122	0.012	5.94672279653775e-105	7	ENSDARG00000098011
ENSDARG00000055514.4	5.01795723972152e-108	1.39855663627885	0.532	0.182	1.10239502599442e-103	7	ENSDARG00000055514
ENSDARG00000027088.3	9.89026166429088e-106	1.35596089500268	0.675	0.326	2.17279158502806e-101	7	ENSDARG00000027088
ENSDARG00000002768.4	4.71010989988811e-94	-1.49418559550289	0.924	0.949	1.03476404390642e-89	7	ENSDARG00000002768
ENSDARG00000037789.4	1.07034854165769e-85	-1.50829130971002	0.909	0.934	2.35144871116778e-81	7	ENSDARG00000037789
ENSDARG00000099197.4	4.71261454629458e-74	-1.53255585122493	0.806	0.856	1.03531428967546e-69	7	ENSDARG00000099197
ENSDARG00000096712	5.50964342700026e-71	1.05808203345602	0.168	0.033	1.21041356447769e-66	7	ENSDARG00000096712
ENSDARG00000099117	1.67145889715124e-66	1.96152737479216	0.103	0.014	3.67202805115155e-62	7	ENSDARG00000099117
ENSDARG00000042993.3	5.67042987567227e-66	-1.19818543382116	0.858	0.894	1.24573673938644e-61	7	ENSDARG00000042993
ENSDARG00000073742.3	1.80876681676215e-63	-1.20671167611793	0.892	0.901	3.97367981974477e-59	7	ENSDARG00000073742
ENSDARG00000017314.3	4.52408729999724e-62	-1.27717890588163	0.807	0.851	9.93896738936393e-58	7	ENSDARG00000017314
ENSDARG00000090428.3	6.28874153741471e-62	-1.23348641417794	0.854	0.887	1.38157362835464e-57	7	ENSDARG00000090428
ENSDARG00000036840	2.89619084534765e-60	1.25030225608451	0.296	0.096	6.36264166814425e-56	7	ENSDARG00000036840
ENSDARG00000077777	4.906026305229e-60	1.02474934570673	0.886	0.79	1.07780491899576e-55	7	ENSDARG00000077777
ENSDARG00000101199.6	5.39606777795727e-60	1.08861499084152	0.687	0.413	1.18546213013943e-55	7	ENSDARG00000101199
ENSDARG00000079274.4	1.0555733609957e-51	-1.29734570370138	0.794	0.815	2.31898911677145e-47	7	ENSDARG00000079274
ENSDARG00000070480	7.59972232499886e-50	1.49049323569164	0.14	0.032	1.669582997579e-45	7	ENSDARG00000070480
ENSDARG00000102558.5	1.87814359239417e-42	-1.77126286095798	0.644	0.709	4.12609365813075e-38	7	ENSDARG00000102558
ENSDARG00000103919.1	2.58887164845894e-40	-1.09265993126463	0.767	0.721	5.68749212449944e-36	7	ENSDARG00000103919
ENSDARG00000036080.1	6.33931685315173e-29	-1.12640217446326	0.186	0.365	1.3926845194689e-24	7	ENSDARG00000036080
ENSDARG00000017441.4	4.65362691250117e-27	-1.48617258351748	0.544	0.601	1.02235529640738e-22	7	ENSDARG00000017441
ENSDARG00000056765.3	7.22865749649178e-27	-1.06593429391378	0.639	0.676	1.58806376540428e-22	7	ENSDARG00000056765
ENSDARG00000043257.2	3.70676757315135e-26	-1.47913869161834	0.367	0.479	8.14339768145619e-22	7	ENSDARG00000043257
ENSDARG00000056744.3	7.5583319313561e-22	-1.14792820245889	0.559	0.605	1.66048994199962e-17	7	ENSDARG00000056744
ENSDARG00000007276.3	1.75467277142879e-20	-1.15277404112959	0.505	0.567	3.8548406115519e-16	7	ENSDARG00000007276
ENSDARG00000103543.4	2.27683255803938e-20	-1.47170320070357	0.427	0.511	5.00197344675671e-16	7	ENSDARG00000103543
ENSDARG00000055455.3	2.98596477604916e-20	-1.47819138801191	0.076	0.216	6.55986601650241e-16	7	ENSDARG00000055455
ENSDARG00000013430.2	3.32375816062882e-20	-1.3526382476551	0.214	0.34	7.30196430308545e-16	7	ENSDARG00000013430
ENSDARG00000020708.3	3.45949647102872e-20	-1.43411137177773	0.106	0.248	7.60016779720299e-16	7	ENSDARG00000020708
ENSDARG00000053254.4	2.03229030460229e-18	-1.54848316776006	0.561	0.575	4.46473857018077e-14	7	ENSDARG00000053254
ENSDARG00000004621.3	4.12152363108532e-18	-1.58859305229091	0.08	0.21	9.05457526513133e-14	7	ENSDARG00000004621
ENSDARG00000035715.1	1.41002289096845e-17	-1.0515365711833	0.322	0.425	3.09767928916859e-13	7	ENSDARG00000035715
ENSDARG00000060350.3	1.67277886710553e-17	-1.08666534863816	0.549	0.577	3.67492789314414e-13	7	ENSDARG00000060350
ENSDARG00000068680.4	5.93816678250252e-15	-1.13904552874975	0.476	0.521	1.30455586044798e-10	7	ENSDARG00000068680
ENSDARG00000039730.3	1.04443488809385e-14	-1.10232084696353	0.532	0.55	2.29451900565337e-10	7	ENSDARG00000039730
ENSDARG00000007697.3	1.25925245778276e-14	-1.57875412452453	0.25	0.348	2.76645172450294e-10	7	ENSDARG00000007697
ENSDARG00000044684.5	1.36455564311518e-13	-2.30449945036211	0.421	0.464	2.99779229235975e-09	7	ENSDARG00000044684
ENSDARG00000033683.4	6.1552904767273e-13	-1.19477169988041	0.462	0.498	1.35225576483222e-08	7	ENSDARG00000033683
ENSDARG00000007275.5	1.30766708798096e-12	-1.7259139091019	0.23	0.315	2.87281382558536e-08	7	ENSDARG00000007275
ENSDARG00000006497.2	1.77623968076318e-12	-1.01653844285043	0.114	0.219	3.90222095466864e-08	7	ENSDARG00000006497
ENSDARG00000036577.2	1.83560485988916e-12	-1.14094029521826	0.076	0.174	4.03264031669049e-08	7	ENSDARG00000036577
ENSDARG00000093844.3	5.08246691060452e-12	-1.03167546647319	0.479	0.507	1.11656715559071e-07	7	ENSDARG00000093844
ENSDARG00000055216.1	6.85464878152786e-12	-1.09432910101077	0.197	0.291	1.50589779081386e-07	7	ENSDARG00000055216
ENSDARG00000099776.2	8.66362170805164e-12	-1.34684634549951	0.313	0.388	1.90331105304186e-07	7	ENSDARG00000099776
ENSDARG00000033655.3	9.17786417690558e-12	-1.16446287056837	0.191	0.282	2.01628498102439e-07	7	ENSDARG00000033655
ENSDARG00000029069.3	1.79331415647659e-11	-1.35022921935066	0.35	0.405	3.93973187036343e-07	7	ENSDARG00000029069
ENSDARG00000030479	1.79433702583732e-11	-1.03813449310561	0.276	0.351	3.94197901206202e-07	7	ENSDARG00000030479
ENSDARG00000045835.2	2.41145013704678e-10	-1.10683636297783	0.307	0.369	5.29771480607808e-06	7	ENSDARG00000045835
ENSDARG00000068457.4	2.51171556435527e-10	-1.19210169517866	0.341	0.396	5.51798792333209e-06	7	ENSDARG00000068457
ENSDARG00000002193.5	3.32636860470808e-09	-2.17316518643047	0.378	0.417	7.30769918768317e-05	7	ENSDARG00000002193
ENSDARG00000011640.3	9.21099953823861e-09	-1.10299792147084	0.043	0.111	0.000202356448855564	7	ENSDARG00000011640
ENSDARG00000045677.4	1.03778173241441e-08	-1.41704258927557	0.399	0.431	0.000227990268794121	7	ENSDARG00000045677
ENSDARG00000035327.4	1.21365493737417e-08	-1.34340159350084	0.308	0.355	0.000266627853191731	7	ENSDARG00000035327
ENSDARG00000015866.4	2.8685859789012e-08	-1.77657113012281	0.641	0.578	0.000630199653704804	7	ENSDARG00000015866
ENSDARG00000044935.3	3.38469162412144e-08	-1.04974633251255	0.077	0.149	0.000743582902903238	7	ENSDARG00000044935
ENSDARG00000021339.4	3.76798153265501e-08	-1.14998330320683	0.307	0.356	0.000827787862908979	7	ENSDARG00000021339
ENSDARG00000058117.1	5.47952464547467e-08	-1.03891231408334	0.089	0.16	0.00120379676936433	7	ENSDARG00000058117
ENSDARG00000040565.4	7.85921134011811e-08	-1.30550860232444	0.271	0.325	0.00172659013931055	7	ENSDARG00000040565
ENSDARG00000105223.3	4.71275295049624e-06	-1.02217456204566	0.231	0.269	0.103534469569452	7	ENSDARG00000105223
ENSDARG00000093303.5	1.81078446212692e-05	-1.55356180864096	0.166	0.215	0.397811238484663	7	ENSDARG00000093303
ENSDARG00000027236.3	2.95378138967452e-05	-1.72144699868498	0.072	0.12	0.648916233497594	7	ENSDARG00000027236
ENSDARG00000019902.3	4.12730361991373e-05	-1.22662664528435	0.133	0.179	0.906727332258846	7	ENSDARG00000019902
ENSDARG00000098475.3	9.64361391874039e-05	-1.20061830013574	0.237	0.271	1	7	ENSDARG00000098475
ENSDARG00000023151.2	0.000106721598830045	-1.15133537385111	0.085	0.129	1	7	ENSDARG00000023151
ENSDARG00000099420.2	0.000281540608680167	-1.17129707377612	0.182	0.218	1	7	ENSDARG00000099420
ENSDARG00000101324.4	0.000341523310939621	-1.8739961482314	0.504	0.457	1	7	ENSDARG00000101324
ENSDARG00000043457.4	0.000559366398843987	-1.16796365305181	0.279	0.292	1	7	ENSDARG00000043457
ENSDARG00000038153.4	0.000674090807110209	-1.3336122313158	0.19	0.221	1	7	ENSDARG00000038153
ENSDARG00000038378.3	0.00078581425177685	-1.2489292952948	0.094	0.132	1	7	ENSDARG00000038378
ENSDARG00000016771.3	0.00222916556769212	-1.10925066977213	0.091	0.124	1	7	ENSDARG00000016771
ENSDARG00000079305.6	0.00251407595450569	-2.66552195104147	0.282	0.202	1	7	ENSDARG00000079305
ENSDARG00000036036.2	0.00376941596319081	-1.0483435814619	0.251	0.27	1	7	ENSDARG00000036036
ENSDARG00000045143.7	0.00461110497642997	-2.5194075666507	0.211	0.152	1	7	ENSDARG00000045143
ENSDARG00000056511.4	0.00504074574054353	-1.41460808842224	0.296	0.297	1	7	ENSDARG00000056511
ENSDARG00000069093	0	3.70650674456749	0.899	0.042	0	8	ENSDARG00000069093
ENSDARG00000038056	0	3.4036088555238	0.542	0.02	0	8	ENSDARG00000038056
ENSDARG00000100133	0	2.98379136775701	0.88	0.044	0	8	ENSDARG00000100133
ENSDARG00000108475	0	2.97357314829149	0.421	0.02	0	8	ENSDARG00000108475
ENSDARG00000030215	0	2.95366861114192	0.447	0.016	0	8	ENSDARG00000030215
ENSDARG00000037845	0	2.95147252952115	0.846	0.022	0	8	ENSDARG00000037845
ENSDARG00000073699	0	2.84974068836168	0.857	0.025	0	8	ENSDARG00000073699
ENSDARG00000015947	0	2.82329166447468	0.624	0.047	0	8	ENSDARG00000015947
ENSDARG00000052437	0	2.72312738804909	0.348	0.004	0	8	ENSDARG00000052437
ENSDARG00000024492	0	2.57468843122221	0.842	0.023	0	8	ENSDARG00000024492
ENSDARG00000042934	0	2.35199371741515	0.688	0.078	0	8	ENSDARG00000042934
ENSDARG00000026165.1	0	2.28485443375516	0.748	0.052	0	8	ENSDARG00000026165
ENSDARG00000005485	0	2.26767520883492	0.644	0.01	0	8	ENSDARG00000005485
ENSDARG00000036893	0	2.08485448265024	0.248	0.014	0	8	ENSDARG00000036893
ENSDARG00000056950	0	1.78765479257824	0.455	0.006	0	8	ENSDARG00000056950
ENSDARG00000011407	0	1.724880898165	0.705	0.089	0	8	ENSDARG00000011407
ENSDARG00000087198	0	1.68572512369188	0.525	0.014	0	8	ENSDARG00000087198
ENSDARG00000103211	0	1.66262532878774	0.399	0.024	0	8	ENSDARG00000103211
ENSDARG00000012422	0	1.64486535242331	0.502	0.006	0	8	ENSDARG00000012422
ENSDARG00000017676	0	1.54721916858242	0.75	0.103	0	8	ENSDARG00000017676
ENSDARG00000092383	0	1.43605242061016	0.318	0.002	0	8	ENSDARG00000092383
ENSDARG00000071586	0	1.33494275339537	0.477	0.067	0	8	ENSDARG00000071586
ENSDARG00000039949	0	1.30122176847993	0.385	0.04	0	8	ENSDARG00000039949
ENSDARG00000040432	0	1.10868392097639	0.405	0.048	0	8	ENSDARG00000040432
ENSDARG00000001760	0	1.06148305111719	0.213	0.002	0	8	ENSDARG00000001760
ENSDARG00000052057	0	1.02312814266041	0.242	0.002	0	8	ENSDARG00000052057
ENSDARG00000045071	0	1.00236254500246	0.216	0.004	0	8	ENSDARG00000045071
ENSDARG00000056087.1	1.01487688906196e-276	1.0470181175497	0.453	0.067	2.22958303758022e-272	8	ENSDARG00000056087
ENSDARG00000019353.2	3.1850539222253e-239	1.31577344009978	0.834	0.269	6.99724496173676e-235	8	ENSDARG00000019353
ENSDARG00000023062.1	2.3706454631928e-231	1.36786951762892	0.627	0.154	5.20807101808826e-227	8	ENSDARG00000023062
ENSDARG00000010785	3.38762120128841e-222	1.00858788580464	0.335	0.046	7.4422650171105e-218	8	ENSDARG00000010785
ENSDARG00000052000	1.2407695844701e-212	1.19570053589988	0.325	0.047	2.72584670012236e-208	8	ENSDARG00000052000
ENSDARG00000031483	1.30727986484802e-212	1.19847965627191	0.106	0.004	2.87196313508463e-208	8	ENSDARG00000031483
ENSDARG00000059391	3.11743669674981e-193	1.50053461093485	0.396	0.074	6.84869667908967e-189	8	ENSDARG00000059391
ENSDARG00000059906.1	1.76555110972653e-186	1.0411324609978	0.811	0.308	3.87873923295821e-182	8	ENSDARG00000059906
ENSDARG00000058358.3	3.44114197708319e-176	1.44919234956987	0.818	0.329	7.55984480945406e-172	8	ENSDARG00000058358
ENSDARG00000011934	2.21597294952464e-175	1.36696221316535	0.45	0.107	4.86827097281069e-171	8	ENSDARG00000011934
ENSDARG00000018404	1.21410635121511e-163	1.62199320870708	0.64	0.218	2.66727024298448e-159	8	ENSDARG00000018404
ENSDARG00000103720.4	7.37585945462055e-154	1.12962866690503	0.859	0.395	1.62040256358559e-149	8	ENSDARG00000103720
ENSDARG00000010625	1.9389597093634e-133	1.2280230433054	0.25	0.042	4.25970058550045e-129	8	ENSDARG00000010625
ENSDARG00000024829	8.4253008465674e-121	1.0929480701262	0.227	0.037	1.85095434298239e-116	8	ENSDARG00000024829
ENSDARG00000044132.1	8.38147805289834e-118	1.31586533795063	0.295	0.061	1.84132691344124e-113	8	ENSDARG00000044132
ENSDARG00000044895.1	3.91079027736326e-115	1.12367608007552	0.368	0.093	8.59161516033934e-111	8	ENSDARG00000044895
ENSDARG00000052615	3.93787761321545e-108	1.30085302281592	0.191	0.03	8.65112332847303e-104	8	ENSDARG00000052615
ENSDARG00000100795	2.00422649512966e-89	1.04236790628333	0.267	0.065	4.40308518715035e-85	8	ENSDARG00000100795
ENSDARG00000025670.1	1.06853711519538e-80	1.39793380042909	0.295	0.08	2.34746918837274e-76	8	ENSDARG00000025670
ENSDARG00000002768.5	1.21992602649783e-53	-1.33913575896686	0.946	0.949	2.68005548761309e-49	8	ENSDARG00000002768
ENSDARG00000037789.5	2.33927115564091e-53	-1.36994811223434	0.927	0.933	5.13914480182752e-49	8	ENSDARG00000037789
ENSDARG00000099197.5	7.02353735197123e-45	-1.36475877941201	0.848	0.854	1.54300092085456e-40	8	ENSDARG00000099197
ENSDARG00000090428.4	2.71053114852407e-42	-1.13741864140273	0.89	0.885	5.95476588019252e-38	8	ENSDARG00000090428
ENSDARG00000073742.4	1.54848710111016e-38	-1.08421344928987	0.908	0.9	3.40187131242892e-34	8	ENSDARG00000073742
ENSDARG00000042993.4	1.15258123757999e-36	-1.09316944263158	0.899	0.893	2.53210572083949e-32	8	ENSDARG00000042993
ENSDARG00000017314.4	4.41142806121332e-36	-1.15264891239577	0.852	0.85	9.69146630767955e-32	8	ENSDARG00000017314
ENSDARG00000079274.5	4.44145417926199e-29	-1.11321527388736	0.815	0.814	9.75743068642067e-25	8	ENSDARG00000079274
ENSDARG00000043257.3	1.19766159055137e-25	-1.40638896842025	0.351	0.479	2.63114274828231e-21	8	ENSDARG00000043257
