ENSDARG00000029898	unknown
ENSDARG00000012125	unknown
ENSDARG00000070666	rhol
ENSDARG00000019752	rom1a
ENSDARG00000027495	elovl4b
ENSDARG00000026926	rom1b
ENSDARG00000011671	pde6b
ENSDARG00000058803	grk1a
ENSDARG00000034577	unknown
ENSDARG00000011886	pdca
ENSDARG00000013393	guca1b
ENSDARG00000000380	pde6a
ENSDARG00000070726	cnga3a
ENSDARG00000078210	unknown
ENSDARG00000014840	unknown
ENSDARG00000020814	faimb
ENSDARG00000012610	saga
ENSDARG00000034424	atp1b2b
ENSDARG00000056791	pde6ga
ENSDARG00000044280	opn1mw2
ENSDARG00000111106	arl3l1
ENSDARG00000106745	unknown
ENSDARG00000102430	opn6a
ENSDARG00000059163	rbp3
ENSDARG00000044199	gnat1
ENSDARG00000098376	unknown
ENSDARG00000052138	slc1a2a
ENSDARG00000015404	arl3l2
ENSDARG00000063519	unknown
ENSDARG00000086735	unknown
ENSDARG00000069607	unknown
ENSDARG00000100139	unknown
ENSDARG00000094217	unknown
ENSDARG00000038018	prph2a
ENSDARG00000037941	syt5a
ENSDARG00000034007	prom1b
ENSDARG00000005776	guk1b
ENSDARG00000070107	six7
ENSDARG00000052575	arl13a
ENSDARG00000098392	ly6pge
ENSDARG00000020602	grk7a
ENSDARG00000027424	slc25a3a
ENSDARG00000015134	unknown
ENSDARG00000037925	unknown
ENSDARG00000008788	camk1gb
ENSDARG00000042988	unknown
ENSDARG00000101485	unknown
ENSDARG00000030758	guca1c
ENSDARG00000075295	unknown
ENSDARG00000078671	cdk5r2b
ENSDARG00000099695	unknown
ENSDARG00000044362	unc119b
ENSDARG00000101984	pde6gb
ENSDARG00000100397	pde6c
ENSDARG00000053480	aqp9b
ENSDARG00000017634	unknown
ENSDARG00000055377	gnb5b
ENSDARG00000042529	gnat2
ENSDARG00000104139	atp1a3b
ENSDARG00000011334	ncaldb
ENSDARG00000041735	tmem237a
ENSDARG00000100703	unknown
ENSDARG00000070972	unknown
ENSDARG00000069615	ckmt2a
ENSDARG00000056938	kera
ENSDARG00000039502	eef1a1a
ENSDARG00000013750	unknown
ENSDARG00000007682	ppdpfa
ENSDARG00000010680	gngt2a
ENSDARG00000002230	sypb
ENSDARG00000038378	sagb
ENSDARG00000097008	opn1mw1
ENSDARG00000009637	rcvrn3
ENSDARG00000035798	gngt1
ENSDARG00000040198	fstl5
ENSDARG00000044526	unknown
ENSDARG00000028048	rdh8a
ENSDARG00000017274	opn1sw2
ENSDARG00000044861	opn1lw2
ENSDARG00000019902	rcvrn2
ENSDARG00000070266	spock3
ENSDARG00000002696	gnb3b
ENSDARG00000024746	unknown
ENSDARG00000035870	laptm4b
ENSDARG00000044684	rbp4l
ENSDARG00000002193	rho
ENSDARG00000011640	syt5b
ENSDARG00000032849	ndrg1a
ENSDARG00000074425	si:busm1-57f23.1
ENSDARG00000056511	arr3a
ENSDARG00000043820	nme2a
ENSDARG00000022509	cox4i2
ENSDARG00000098475	arr3b
ENSDARG00000070038	rbp2a
ENSDARG00000045677	opn1sw1
ENSDARG00000104458	unknown
ENSDARG00000103543	gngt2b
ENSDARG00000102558	pde6ha
ENSDARG00000043257	ckbb
ENSDARG00000104372	gnb1b
ENSDARG00000090454	gnb1a
ENSDARG00000105223	pmp22a
ENSDARG00000020007	col1a2
ENSDARG00000091234	unknown
ENSDARG00000074378	junba
ENSDARG00000103720	unknown
ENSDARG00000012405	col1a1a
ENSDARG00000020133	jdp2b
ENSDARG00000025428	socs3a
ENSDARG00000053684	aldob
ENSDARG00000071626	ptgdsb.2
ENSDARG00000090352	unknown
ENSDARG00000007275	si:ch211-251b21.1
ENSDARG00000027088	ptgdsb.1
ENSDARG00000036832	unknown
ENSDARG00000093303	ifitm1
ENSDARG00000055514	icn2
ENSDARG00000101199	rbp4
ENSDARG00000031683	fosab
ENSDARG00000017624	krt4
ENSDARG00000092947	cyt1
ENSDARG00000015866	apoa2
ENSDARG00000038439	fabp10a
ENSDARG00000101324	apoa1b
ENSDARG00000115405	unknown
ENSDARG00000045143	hbbe2
ENSDARG00000079305	hbae3
ENSDARG00000087390	unknown
ENSDARG00000113599	hbbe1.1
