ENSDARG00000074322	unknown
ENSDARG00000104399	unknown
ENSDARG00000090873	ccl34a.4
ENSDARG00000068233	zgc:64051
ENSDARG00000054610	coro1a
ENSDARG00000101785	unknown
ENSDARG00000074656	ctss2.1
ENSDARG00000109648	unknown
ENSDARG00000055186	ccr9a
ENSDARG00000023188	lcp1
ENSDARG00000088745	unknown
ENSDARG00000040178	havcr1
ENSDARG00000104077	fcer1gl
ENSDARG00000079387	unknown
ENSDARG00000043436	unknown
ENSDARG00000055290	mpeg1.1
ENSDARG00000026350	wasb
ENSDARG00000101169	unknown
ENSDARG00000067797	spi1a
ENSDARG00000000767	spi1b
ENSDARG00000036628	cd74b
ENSDARG00000090783	mfap4
ENSDARG00000095801	unknown
ENSDARG00000017653	unknown
ENSDARG00000025903	lgals9l1
ENSDARG00000044129	unknown
ENSDARG00000040528	lgals3bpb
ENSDARG00000086337	unknown
ENSDARG00000098293	si:dkey-27i16.2
ENSDARG00000089667	unknown
ENSDARG00000070542	mafbb
ENSDARG00000105592	unknown
ENSDARG00000041959	cxcr4b
ENSDARG00000094112	slc22a21
ENSDARG00000093608	ccl34b.1
ENSDARG00000089362	grn1
ENSDARG00000003902	ctsl.1
ENSDARG00000027063	arpc1b
ENSDARG00000038010	rac2
ENSDARG00000099839	unknown
ENSDARG00000056874	lygl1
ENSDARG00000099672	unknown
ENSDARG00000077069	srgn
ENSDARG00000054942	lgals2a
ENSDARG00000105408	unknown
ENSDARG00000013771	ctss2.2
ENSDARG00000034650	fabp7b
ENSDARG00000101334	ctsc
ENSDARG00000004034	unknown
ENSDARG00000003931	cndp2
ENSDARG00000042927	mapre1a
ENSDARG00000036074	cebpa
ENSDARG00000088439	gm2a
ENSDARG00000042876	unknown
ENSDARG00000095556	unknown
ENSDARG00000055504	unknown
ENSDARG00000026829	cotl1
ENSDARG00000088091	pfn1
ENSDARG00000055120	ctsba
ENSDARG00000044254	anxa3b
ENSDARG00000042725	cebpb
ENSDARG00000043081	ctsz
ENSDARG00000057882	arpc3
ENSDARG00000057853	atp6v0ca
ENSDARG00000024540	tspan36
ENSDARG00000075989	arpc2
ENSDARG00000013968	psap
ENSDARG00000037746	actb1
ENSDARG00000077777	tmsb4x
ENSDARG00000031776	unknown
ENSDARG00000037870	actb2
ENSDARG00000020007	col1a2
ENSDARG00000019353	sparc
ENSDARG00000055455	gpm6aa
ENSDARG00000102975	nsg2
ENSDARG00000018404	krt18a.1
ENSDARG00000020708	mdkb
ENSDARG00000105223	pmp22a
ENSDARG00000004621	gpm6ab
ENSDARG00000038559	h1-0
ENSDARG00000087303	cebpd
ENSDARG00000013430	bhmt
ENSDARG00000036036	mdka
ENSDARG00000053684	aldob
ENSDARG00000012405	col1a1a
ENSDARG00000023151	ucp1
ENSDARG00000071626	ptgdsb.2
ENSDARG00000027236	rs1a
ENSDARG00000058371	krt5
ENSDARG00000036830	krt91
ENSDARG00000007697	fabp7a
ENSDARG00000038153	lgals2b
ENSDARG00000007275	si:ch211-251b21.1
ENSDARG00000101199	rbp4
ENSDARG00000044684	rbp4l
ENSDARG00000027088	ptgdsb.1
ENSDARG00000093303	ifitm1
ENSDARG00000017624	krt4
ENSDARG00000092947	cyt1
ENSDARG00000015866	apoa2
ENSDARG00000101324	apoa1b
ENSDARG00000038439	fabp10a
ENSDARG00000002193	rho
ENSDARG00000079305	hbae3
