ovary,4
primordial germ cell,4
blastomere,4
gonad,3
oocyte stage I,3
testis,2
brain,2
unfertilized egg,2
blastodisc,2
heart,2
germ line cell,2
oocyte stage II,2
immature gonad,1
muscle,1
oocyte stage III,1
margin,1
anatomical cluster,1
oocyte stage IV,1
posterior side,1
notochord,1
retina,1
neuron,1
hindbrain,1
ovarian follicle stage I,1
ovarian follicle stage II,1
oocyte,1
ovarian follicle,1
